geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
ZW,Zimbabwe,1813,MoPub Inc.,"all",any_status,external,appnexus,false,123300,7000,8026718600,196031100,--,Phone,--
ZW,Zimbabwe,280,Microsoft Advertising Exchange,"all",any_status,platform,all,false,105200,9400,4389443500,388713000,--,Phone,--
ZW,Zimbabwe,181,Google AdExchange,"all",any_status,external,all,false,71000,6700,25164518900,1991222900,--,Phone,--
ZW,Zimbabwe,1356,bRealTime Marketplace,"all",any_status,platform,appnexus,false,28800,2800,4522841800,154944000,--,Phone,--
ZW,Zimbabwe,2850,MobFox,"all",any_status,unknown,blocked,false,22700,1800,321264300,31435800,--,Phone,--
ZW,Zimbabwe,1868,ONE by AOL Mobile Marketplace,"all",any_status,platform,appnexus,false,20500,1800,1599364200,57021100,--,Phone,--
ZW,Zimbabwe,2047,Inneractive LTD,"all",any_status,unknown,appnexus,false,13400,1200,274139000,13542500,--,Phone,--
ZW,Zimbabwe,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,12200,1300,2861386100,127178400,--,Phone,--
ZW,Zimbabwe,3364,Taboola Inc,"all",any_status,platform,appnexus,false,11200,1300,427172500,90855300,--,Phone,--
ZW,Zimbabwe,2306,Shazam Entertainment Limited,"all",any_status,unknown,appnexus,false,9600,1800,98477400,17654900,--,Phone,--
ZW,Zimbabwe,357,OpenX,"all",any_status,unknown,appnexus,false,8800,900,3342265000,577067600,--,Phone,--
ZW,Zimbabwe,7382,"Women.com, Inc.","all",any_status,unknown,appnexus,false,8700,200,52034000,1022800,--,Phone,--
ZW,Zimbabwe,459,Rubicon,"all",any_status,external,appnexus,false,8600,1000,6054415600,734066500,--,Phone,--
ZW,Zimbabwe,2365,SouthernX,"all",any_status,platform,appnexus,false,7300,1900,11491200,2017700,--,Phone,--
ZW,Zimbabwe,3642,Cheetah Mobile,"all",any_status,unknown,appnexus,false,7100,3300,59805000,28819800,--,Phone,--
ZW,Zimbabwe,1001,33Across Real Impact,"all",any_status,platform,appnexus,false,7000,1100,195379700,18118000,--,Phone,--
ZW,Zimbabwe,7287,Hearst Exchange,"all",any_status,unknown,appnexus,false,5400,700,65365100,5593300,--,Phone,--
ZW,Zimbabwe,2965,MeetMe Inc.,"all",any_status,platform,appnexus,false,4800,100,199569600,1859800,--,Phone,--
ZW,Zimbabwe,3334,Teads France SAS,"all",any_status,unknown,appnexus,false,4000,600,816082900,74521600,--,Phone,--
ZW,Zimbabwe,1263,"PulsePoint, Inc.","all",any_status,unknown,appnexus,false,3500,300,342777600,60158900,--,Phone,--
ZW,Zimbabwe,2992,playbuzz Ltd.,"all",any_status,unknown,appnexus,false,3400,300,11580200,2025300,--,Phone,--
ZW,Zimbabwe,310,Technorati Media,"all",any_status,unknown,appnexus,false,3300,600,602459400,63587900,--,Phone,--
ZW,Zimbabwe,2854,The Blogger Network,"all",any_status,platform,appnexus,false,3100,400,121571300,6346800,--,Phone,--
ZW,Zimbabwe,1613,Defy Media,"all",any_status,unknown,appnexus,false,2700,500,1446041200,57273600,--,Phone,--
ZW,Zimbabwe,1226,AOL ONE Display,"all",any_status,unknown,appnexus,false,2400,700,631334100,136540000,--,Phone,--
ZW,Zimbabwe,3703,Smart RTB+,"all",any_status,platform,appnexus,false,2400,200,779666400,75489900,--,Phone,--
ZW,Zimbabwe,454,AdReady,"all",any_status,platform,appnexus,false,2400,200,2058500,101000,--,Phone,--
ZW,Zimbabwe,74,PubMatic,"all",any_status,external,appnexus,false,2300,300,754698000,184590500,--,Phone,--
ZW,Zimbabwe,3396,MailOnline (Rest of World),"all",any_status,platform,appnexus,false,2300,200,61510900,1943200,--,Phone,--
ZW,Zimbabwe,1410,Index Exchange Inc,"all",any_status,unknown,appnexus,false,2200,300,2912265300,416195500,--,Phone,--
ZW,Zimbabwe,740,NetSeer Inc,"all",any_status,platform,appnexus,false,2200,1100,43943500,4651700,--,Phone,--
ZW,Zimbabwe,3130,Mark 1 Media (PTY) Ltd.,"all",any_status,platform,appnexus,false,2100,200,118900,13300,--,Phone,--
ZW,Zimbabwe,3819,News UK & Ireland Limited,"all",any_status,platform,appnexus,false,2000,200,16985500,2117600,--,Phone,--
ZW,Zimbabwe,2025,Fairfax Digital,"all",any_status,platform,appnexus,false,1900,300,163465000,3224900,--,Phone,--
ZW,Zimbabwe,1608,Audience Square,"all",any_status,platform,appnexus,false,1700,200,175932400,21145200,--,Phone,--
ZW,Zimbabwe,4051,CheatSheet,"all",any_status,platform,appnexus,false,1700,100,23042900,959000,--,Phone,--
ZW,Zimbabwe,1180,MailOnline Publisher Network,"all",any_status,platform,appnexus,false,1600,500,39552200,3950500,--,Phone,--
ZW,Zimbabwe,7091,"Ifwe, Inc.","all",any_status,platform,appnexus,false,1600,100,15306800,229600,--,Phone,--
ZW,Zimbabwe,3391,Avantis Team Ltd.,"all",any_status,platform,appnexus,false,1600,500,728000,312300,--,Phone,--
ZW,Zimbabwe,7259,"DistroScale, Inc.","all",any_status,unknown,appnexus,false,1500,600,19105600,3531600,--,Phone,--
ZW,Zimbabwe,3500,ASQ Brand,"all",any_status,platform,appnexus,false,1500,100,109298700,12050800,--,Phone,--
ZW,Zimbabwe,7141,Famous Birthdays LLC,"all",any_status,platform,appnexus,false,1500,100,5175900,396700,--,Phone,--
ZW,Zimbabwe,3098,WEBEDIA,"all",any_status,unknown,appnexus,false,1300,200,103998300,12445100,--,Phone,--
ZW,Zimbabwe,2568,Engage:BDR,"all",any_status,platform,appnexus,false,1200,100,190723800,1810200,--,Phone,--
ZW,Zimbabwe,1908,District M,"all",any_status,platform,appnexus,false,1200,400,2307998300,101858500,--,Phone,--
ZW,Zimbabwe,3080,Local World Limited,"all",any_status,platform,appnexus,false,1100,500,4581400,1620500,--,Phone,--
ZW,Zimbabwe,2637,Matomy Content Network,"all",any_status,unknown,blocked,false,1100,200,8931700,1790200,--,Phone,--
ZW,Zimbabwe,3153,152 Media Select,"all",any_status,platform,appnexus,false,1100,200,159737500,6255700,--,Phone,--
ZW,Zimbabwe,7080,FPT AdTrue JSC,"all",any_status,platform,appnexus,false,1100,200,146897500,3992300,--,Phone,--
ZW,Zimbabwe,3135,33Across Real Display,"all",any_status,platform,appnexus,false,1000,200,70925500,3652300,--,Phone,--
ZW,Zimbabwe,3273,Figaromedias,"all",any_status,platform,appnexus,false,1000,100,145140900,12302300,--,Phone,--
